Typical Measured Spectrum of Semrock BLP01-633R Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
697.3635	0.995845067082271
697.5295	0.995811751311258
697.6955	0.995669436797364
697.8615	0.994910607149865
698.0275	0.994546922066681
698.1935	0.993971078467074
698.3595	0.993934284234256
698.5255	0.993601229940142
698.6915	0.993516410544274
698.8575	0.9931284144763
699.0235	0.992674996030976
699.1895	0.992238865397431
699.3555	0.991854019545359
699.5215	0.992243883539093
699.6875	0.991719333894921
699.8535	0.991295808204515
700.0195	0.99135549665932
700.1855	0.9911325084747
700.3515	0.991013656193344
700.5175	0.991209250234665
700.6835	0.991291266800895
700.849	0.991464446670818
701.0145	0.990399653802722
701.1805	0.990988246401679
701.3465	0.990659400804761
701.5125	0.991202536770934
701.6785	0.991639417480105
701.8445	0.991457495132049
702.0105	0.991661132899537
702.1765	0.991872832179099
702.3425	0.99216518352877
702.5085	0.992293224966615
702.6745	0.992649130579012
702.8405	0.992982801807002
703.006	0.99297570048389
703.1715	0.992805695481884
703.3375	0.992992678574985
703.5035	0.993093636946505
703.6695	0.993291732286176
703.8355	0.99403884077795
704.0015	0.994555400255996
704.1675	0.994686509771187
704.3335	0.995271923294744
704.4985	0.995451220120242
704.6645	0.995591492992452
704.8305	0.995579965759016
704.9965	0.995698888621487
705.1625	0.995626546600534
705.3285	0.995799166052569
705.494	0.995940328133646
705.6595	0.995683921420689
705.8255	0.996137093329649
705.9915	0.996419177888938
706.1575	0.996611523923
706.3235	0.996664956955096
706.489	0.996522902426605
706.6545	0.99624482180337
706.8205	0.996190872069486
706.9865	0.996203747943306
707.1525	0.996018994827725
707.318	0.995332751993983
707.4835	0.995752098752768
707.6495	0.995364379076203
707.8155	0.995636202403927
707.9815	0.995613087743666
708.1465	0.995379930961621
708.3125	0.994539258313301
708.4785	0.995108324968457
708.6445	0.994694647338402
708.8095	0.99445432483913
708.9755	0.994475569066638
