Typical Measured Spectrum of Semrock NF03-594E Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
511.6	0.97193
511.8	0.97283
512.0	0.97281
512.2	0.9709
512.4	0.96709
512.6	0.96495
512.8	0.96355
513.0	0.96229
513.2	0.96263
513.4	0.96522
513.6	0.96837
513.8	0.97048
514.0	0.97345
514.2	0.97432
514.4	0.97404
514.6	0.97194
514.8	0.96882
515.0	0.96565
515.2	0.96028
515.4	0.95681
515.6	0.95521
515.8	0.95452
516.0	0.9542
516.2	0.95603
516.4	0.95846
516.6	0.95983
516.8	0.96136
517.0	0.96206
517.2	0.96169
517.4	0.95875
517.6	0.95707
517.8	0.95561
518.0	0.95462
518.2	0.95369
518.4	0.95551
518.6	0.95855
518.8	0.96162
519.0	0.96546
519.2	0.96996
519.4	0.97351
519.6	0.97497
519.8	0.97525
520.0	0.97499
520.2	0.97275
520.4	0.96934
520.6	0.96718
520.8	0.96612
521.0	0.96563
521.2	0.96573
521.4	0.9675
521.6	0.97034
521.8	0.97202
522.0	0.97396
522.2	0.9745
522.4	0.97469
522.6	0.97197
522.8	0.96827
523.0	0.96468
523.2	0.96193
523.4	0.95752
523.6	0.95439
523.8	0.95496
524.0	0.95556
524.2	0.95546
524.4	0.95687
524.6	0.95979
524.8	0.96061
525.0	0.96003
525.2	0.95987
525.4	0.95907
525.6	0.95717
525.8	0.95432
526.0	0.95279
526.2	0.95336
526.4	0.95322
526.6	0.95462
526.8	0.95947
527.0	0.9638
527.2	0.96755
527.4	0.97086
527.6	0.97485
527.8	0.97682
528.0	0.97624
528.2	0.97471
528.4	0.97298
528.6	0.97105
528.8	0.96805
529.0	0.96599
529.2	0.96633
529.4	0.96738
529.6	0.96845
529.8	0.97
530.0	0.97285
530.2	0.97512
530.4	0.97514
530.6	0.97394
530.8	0.9722
531.0	0.96889
531.2	0.9636
531.4	0.95858
531.6	0.9547
531.8	0.95242
532.0	0.95002
532.2	0.94921
532.4	0.95123
532.6	0.95381
532.8	0.95597
533.0	0.95813
533.2	0.96159
533.4	0.96303
533.6	0.96235
533.8	0.96126
534.0	0.96036
534.2	0.95872
534.4	0.95712
534.6	0.95536
534.8	0.95693
535.0	0.95904
535.2	0.96107
535.4	0.96464
535.6	0.96942
535.8	0.97333
536.0	0.97624
536.2	0.97801
536.4	0.97781
536.6	0.97676
536.8	0.97519
537.0	0.97205
537.2	0.96937
537.4	0.96776
537.6	0.96652
537.8	0.96572
538.0	0.966
538.2	0.96854
538.4	0.97077
538.6	0.97246
538.8	0.97352
539.0	0.97418
539.2	0.97368
539.4	0.97086
539.6	0.96668
539.8	0.96304
540.0	0.95998
540.2	0.95562
540.4	0.9525
540.6	0.95144
540.8	0.95164
541.0	0.95214
541.2	0.95315
541.4	0.95615
541.6	0.95961
541.8	0.96162
542.0	0.96214
542.2	0.96221
542.4	0.96228
542.6	0.96109
542.8	0.9588
543.0	0.9562
543.2	0.956
543.4	0.95704
543.6	0.95789
543.8	0.96027
544.0	0.96483
544.2	0.96869
544.4	0.97146
544.6	0.97447
544.8	0.97625
545.0	0.97749
545.2	0.97654
545.4	0.97407
545.6	0.97174
545.8	0.96995
546.0	0.96751
546.2	0.96618
546.4	0.96423
546.6	0.96535
546.8	0.96687
547.0	0.96806
547.2	0.96887
547.4	0.96909
547.6	0.97019
547.8	0.9691
548.0	0.96592
548.2	0.96187
548.4	0.95806
548.6	0.95413
548.8	0.95033
549.0	0.94622
549.2	0.94527
549.4	0.94682
549.6	0.94737
549.8	0.94829
550.0	0.95174
550.2	0.95683
550.4	0.95969
550.6	0.96095
550.8	0.9621
551.0	0.96243
551.2	0.96124
551.4	0.95968
551.6	0.95622
551.8	0.95401
552.0	0.95303
552.2	0.95369
552.4	0.95357
552.6	0.95502
552.8	0.9591
553.0	0.96396
553.2	0.96772
553.4	0.97129
553.6	0.97499
553.8	0.97619
554.0	0.97677
554.2	0.97545
554.4	0.97262
554.6	0.96925
554.8	0.96652
555.0	0.96338
555.2	0.96032
555.4	0.95948
555.6	0.95933
555.8	0.96093
556.0	0.96285
556.2	0.96376
556.4	0.96637
556.6	0.96695
556.8	0.9678
557.0	0.96665
557.2	0.96348
557.4	0.96053
557.6	0.95775
557.8	0.9546
558.0	0.95067
558.2	0.94809
558.4	0.94757
558.6	0.94876
558.8	0.94972
559.0	0.95091
559.2	0.95404
559.4	0.9579
559.6	0.96015
559.8	0.96196
560.0	0.96172
560.2	0.96175
560.4	0.96143
560.6	0.95942
560.8	0.95696
561.0	0.95452
561.2	0.95465
561.4	0.95638
561.6	0.95785
561.8	0.95898
562.0	0.96217
562.2	0.96629
562.4	0.97054
562.6	0.9727
562.8	0.97386
563.0	0.97395
563.2	0.97273
563.4	0.9701
563.6	0.96637
563.8	0.96193
564.0	0.95761
564.2	0.95559
564.4	0.95377
564.6	0.95307
564.8	0.95324
565.0	0.95443
565.2	0.95737
565.4	0.95995
565.6	0.96143
565.8	0.96246
566.0	0.96265
566.2	0.96163
566.4	0.95933
566.6	0.95559
566.8	0.95157
567.0	0.94764
567.2	0.94609
567.4	0.94483
567.6	0.94295
567.8	0.94287
568.0	0.94549
568.2	0.94873
568.4	0.95214
568.6	0.95374
568.8	0.95518
569.0	0.95681
569.2	0.95822
569.4	0.95578
569.6	0.95374
569.8	0.95094
570.0	0.94804
570.2	0.94742
570.4	0.94716
570.6	0.94716
570.8	0.94857
571.0	0.95227
571.2	0.95759
571.4	0.9614
571.6	0.96474
571.8	0.9671
572.0	0.96851
572.2	0.96897
572.4	0.96728
572.6	0.9646
572.8	0.96105
573.0	0.95754
573.2	0.95605
573.4	0.95537
573.6	0.95487
573.8	0.95595
574.0	0.95812
574.2	0.96093
574.4	0.96361
574.6	0.96467
574.8	0.96444
575.0	0.96211
575.2	0.95876
575.4	0.95503
575.6	0.95073
575.8	0.94536
576.0	0.94093
576.2	0.93825
576.4	0.93884
576.6	0.94091
576.8	0.94294
577.0	0.94585
577.2	0.94907
577.4	0.95199
577.6	0.95419
577.8	0.95384
578.0	0.95122
578.2	0.94769
578.4	0.94495
578.6	0.94405
578.8	0.94545
579.0	0.94647
579.2	0.94961
579.4	0.95384
579.6	0.95869
579.8	0.96096
580.0	0.96059
580.2	0.95674
580.4	0.95033
580.6	0.94183
580.8	0.93434
581.0	0.92955
581.2	0.92644
581.4	0.9207
581.6	0.9044
581.8	0.86754
582.0	0.8007
582.2	0.70584
582.4	0.59133
582.6	0.47366
582.8	0.36471
583.0	0.27024
583.2	0.20596
583.4	0.14108
