Typical Measured Spectrum of Semrock FF01-575/59 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)

454.6	5.0349e-06
454.8	5.0376e-06
455.0	5.0403e-06
455.2	5.043e-06
455.4	5.0457e-06
455.6	5.0485e-06
455.8	5.0512e-06
456.0	5.0539e-06
456.2	5.0665e-06
456.4	5.085e-06
456.6	5.1035e-06
456.8	5.1221e-06
457.0	5.1408e-06
457.2	5.1596e-06
457.4	5.1784e-06
457.6	5.1973e-06
457.8	5.2163e-06
458.0	5.2353e-06
458.2	5.2544e-06
458.4	5.2736e-06
458.6	5.2928e-06
458.8	5.3122e-06
459.0	5.3315e-06
459.2	5.351e-06
459.4	5.3705e-06
459.6	5.3901e-06
459.8	5.406e-06
460.0	5.3988e-06
460.2	5.3916e-06
460.4	5.3844e-06
460.6	5.3772e-06
460.8	5.37e-06
461.0	5.3629e-06
461.2	5.3557e-06
461.4	5.3485e-06
461.6	5.3414e-06
461.8	5.3343e-06
462.0	5.3271e-06
462.2	5.32e-06
462.4	5.3129e-06
462.6	5.3058e-06
462.8	5.2987e-06
463.0	5.2917e-06
463.2	5.2846e-06
463.4	5.2776e-06
463.6	4.544e-06
463.8	3.6307e-06
464.0	2.901e-06
464.2	2.3179e-06
464.4	1.852e-06
464.6	1.4798e-06
464.8	1.1824e-06
465.0	9.4473e-07
465.2	7.5485e-07
465.4	6.0313e-07
465.6	4.8191e-07
465.8	3.8505e-07
466.0	3.0766e-07
466.2	2.4582e-07
466.4	1.9642e-07
466.6	1.5694e-07
466.8	1.3236e-07
467.0	1.3521e-07
467.2	1.3813e-07
467.4	1.4111e-07
467.6	1.4415e-07
467.8	1.4725e-07
468.0	1.5043e-07
468.2	1.5367e-07
468.4	1.5698e-07
468.6	1.6037e-07
468.8	1.6382e-07
469.0	1.6736e-07
469.2	1.7096e-07
469.4	1.7465e-07
469.6	1.7841e-07
469.8	1.8226e-07
470.0	1.8619e-07
470.2	1.902e-07
470.4	1.9278e-07
470.6	1.9408e-07
470.8	1.9539e-07
471.0	1.9671e-07
471.2	1.9804e-07
471.4	1.9937e-07
471.6	2.0072e-07
471.8	2.0208e-07
472.0	2.0344e-07
472.2	2.0481e-07
472.4	2.062e-07
472.6	2.0759e-07
472.8	2.0899e-07
473.0	2.104e-07
473.2	2.1182e-07
473.4	2.1325e-07
473.6	2.1469e-07
473.8	2.1614e-07
474.0	2.176e-07
474.2	2.1907e-07
474.4	2.2055e-07
474.6	2.2204e-07
474.8	2.2354e-07
475.0	2.2505e-07
475.2	2.2657e-07
475.4	2.2621e-07
475.6	2.2419e-07
475.8	2.2218e-07
476.0	2.202e-07
476.2	2.1823e-07
476.4	2.1628e-07
476.6	2.1435e-07
476.8	2.1244e-07
477.0	2.1054e-07
477.2	2.0866e-07
477.4	2.0679e-07
477.6	2.0495e-07
477.8	2.0311e-07
478.0	2.013e-07
478.2	1.995e-07
478.4	1.9772e-07
478.6	1.9595e-07
478.8	1.942e-07
