Typical Measured Spectrum of Semrock FF614-SDi01 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
397.0	0.963
397.2	0.95985
397.4	0.95958
397.6	0.96216
397.8	0.96264
398.0	0.96312
398.2	0.96398
398.4	0.96311
398.6	0.96205
398.8	0.96151
399.0	0.96415
399.2	0.96181
399.4	0.96042
399.6	0.96425
399.8	0.96322
400.0	0.96244
400.2	0.96431
400.4	0.96667
400.6	0.96623
400.8	0.96576
401.0	0.96482
401.2	0.9667
401.4	0.96732
401.6	0.96693
401.8	0.96705
402.0	0.97032
402.2	0.96889
402.4	0.96945
402.6	0.97127
402.8	0.97272
403.0	0.97338
403.2	0.97363
403.4	0.97542
403.6	0.97782
403.8	0.97715
404.0	0.97738
404.2	0.97892
404.4	0.97776
404.6	0.97819
404.8	0.97575
405.0	0.97601
405.2	0.97804
405.4	0.97714
405.6	0.97675
405.8	0.97692
406.0	0.9736
406.2	0.97639
406.4	0.97386
406.6	0.97328
406.8	0.974
407.0	0.97318
407.2	0.97485
407.4	0.97165
407.6	0.97018
407.8	0.97336
408.0	0.97541
408.2	0.97422
408.4	0.97264
408.6	0.9719
408.8	0.97097
409.0	0.97292
409.2	0.97429
409.4	0.97174
409.6	0.97013
409.8	0.97122
410.0	0.97413
410.2	0.97342
410.4	0.97236
410.6	0.97236
410.8	0.97333
411.0	0.97159
411.2	0.97013
411.4	0.96942
411.6	0.97095
411.8	0.9707
412.0	0.96979
412.2	0.96883
412.4	0.96659
412.6	0.96327
412.8	0.96431
413.0	0.9642
413.2	0.96265
413.4	0.96011
413.6	0.96128
413.8	0.96084
414.0	0.961
414.2	0.96012
414.4	0.95986
414.6	0.95749
414.8	0.95769
415.0	0.9576
415.2	0.95676
415.4	0.95353
415.6	0.95332
415.8	0.95419
416.0	0.95121
416.2	0.95406
416.4	0.95466
416.6	0.95325
416.8	0.95544
417.0	0.95481
417.2	0.95302
417.4	0.95407
417.6	0.95417
417.8	0.95415
418.0	0.95427
418.2	0.95565
418.4	0.95704
418.6	0.95819
418.8	0.95739
419.0	0.96049
419.2	0.96012
419.4	0.96056
419.6	0.96029
419.8	0.96039
420.0	0.9599
420.2	0.96105
420.4	0.95896
420.6	0.95689
420.8	0.95814
421.0	0.95862
421.2	0.95785
421.4	0.95858
421.6	0.9591
421.8	0.95629
422.0	0.95791
422.2	0.95739
422.4	0.9569
422.6	0.95598
422.8	0.95507
423.0	0.95571
423.2	0.9549
423.4	0.95549
423.6	0.95457
423.8	0.95692
424.0	0.95464
424.2	0.95402
424.4	0.95473
424.6	0.95258
424.8	0.95398
425.0	0.95401
425.2	0.95418
425.4	0.9551
425.6	0.95634
425.8	0.95749
426.0	0.95704
426.2	0.95755
426.4	0.95767
426.6	0.96081
426.8	0.96041
427.0	0.95947
427.2	0.96043
427.4	0.9624
427.6	0.96464
427.8	0.96396
428.0	0.96423
428.2	0.9651
428.4	0.9647
428.6	0.96674
428.8	0.96773
429.0	0.96955
429.2	0.96622
429.4	0.96594
429.6	0.96672
429.8	0.96782
430.0	0.96719
430.2	0.96889
430.4	0.96727
430.6	0.9673
430.8	0.96531
431.0	0.96544
431.2	0.96445
431.4	0.96438
431.6	0.96448
431.8	0.96355
432.0	0.96244
432.2	0.9622
432.4	0.96151
432.6	0.96138
432.8	0.96029
433.0	0.96024
433.2	0.96163
433.4	0.96235
433.6	0.96238
433.8	0.9632
434.0	0.96322
434.2	0.96393
434.4	0.96339
434.6	0.96282
434.8	0.9611
435.0	0.96318
435.2	0.96509
435.4	0.96384
435.6	0.9658
435.8	0.96535
436.0	0.96581
436.2	0.96741
436.4	0.9677
436.6	0.96842
436.8	0.96948
437.0	0.96992
437.2	0.9726
437.4	0.97403
437.6	0.974
437.8	0.97347
438.0	0.9743
438.2	0.97595
438.4	0.97486
438.6	0.97382
438.8	0.973
439.0	0.97438
439.2	0.97415
439.4	0.97419
439.6	0.97431
439.8	0.97346
440.0	0.97564
440.2	0.97316
440.4	0.97363
440.6	0.97567
440.8	0.97451
441.0	0.97297
441.2	0.97372
441.4	0.97381
