Typical Measured Spectrum of Semrock FF01-612/SP Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
657.2	1.3574e-05
657.4	1.3402e-05
657.6	1.3233e-05
657.8	1.3066e-05
658.0	1.29e-05
658.2	1.2737e-05
658.4	1.2576e-05
658.6	1.2417e-05
658.8	1.226e-05
659.0	1.2129e-05
659.2	1.2006e-05
659.4	1.1883e-05
659.6	1.1762e-05
659.8	1.1642e-05
660.0	1.1524e-05
660.2	1.1406e-05
660.4	1.129e-05
660.6	1.1175e-05
660.8	1.1061e-05
661.0	1.0948e-05
661.2	1.0837e-05
661.4	1.0726e-05
661.6	1.0617e-05
661.8	1.0506e-05
662.0	1.0395e-05
662.2	1.0284e-05
662.4	1.0176e-05
662.6	1.0068e-05
662.8	9.9612e-06
663.0	9.8557e-06
663.2	9.7513e-06
663.4	9.6539e-06
663.6	9.5601e-06
663.8	9.4672e-06
664.0	9.3752e-06
664.2	9.2842e-06
664.4	9.194e-06
664.6	9.1047e-06
664.8	9.0162e-06
665.0	8.9286e-06
665.2	8.8454e-06
665.4	8.7733e-06
665.6	8.7018e-06
665.8	8.6309e-06
666.0	8.5605e-06
666.2	8.4908e-06
666.4	8.4216e-06
666.6	8.3529e-06
666.8	8.2857e-06
667.0	8.2216e-06
667.2	8.1581e-06
667.4	8.095e-06
667.6	8.0324e-06
667.8	7.9704e-06
668.0	7.9087e-06
668.2	7.8476e-06
668.4	7.7869e-06
668.6	7.7268e-06
668.8	7.665e-06
669.0	7.6033e-06
669.2	7.542e-06
669.4	7.4813e-06
669.6	7.421e-06
669.8	7.3612e-06
670.0	7.302e-06
670.2	7.2431e-06
670.4	8.8939e-06
670.6	1.1558e-05
670.8	1.5021e-05
671.0	1.9521e-05
671.2	2.5369e-05
671.4	3.2969e-05
671.6	4.2846e-05
671.8	4.0823e-05
672.0	3.6538e-05
672.2	3.9104e-05
672.4	3.6901e-05
672.6	3.7112e-05
672.8	4.1697e-05
673.0	2.1343e-05
673.2	1.7034e-05
673.4	1.3595e-05
673.6	1.085e-05
673.8	8.659e-06
674.0	7.1933e-06
674.2	7.1301e-06
674.4	7.0674e-06
674.6	7.0052e-06
674.8	6.9436e-06
675.0	6.8826e-06
675.2	6.822e-06
675.4	6.762e-06
675.6	6.7026e-06
675.8	6.6436e-06
676.0	6.5852e-06
676.2	6.5273e-06
676.4	6.4699e-06
676.6	6.413e-06
676.8	6.3566e-06
677.0	6.3007e-06
677.2	6.2453e-06
677.4	6.1904e-06
677.6	6.136e-06
677.8	6.1053e-06
678.0	6.0782e-06
678.2	6.0513e-06
678.4	6.0244e-06
678.6	5.9977e-06
678.8	5.9711e-06
679.0	5.9446e-06
679.2	5.9183e-06
679.4	5.892e-06
679.6	5.8659e-06
679.8	5.8399e-06
680.0	5.814e-06
680.2	5.7882e-06
680.4	5.7626e-06
680.6	5.737e-06
680.8	5.7116e-06
681.0	5.6862e-06
681.2	5.661e-06
681.4	5.6425e-06
681.6	5.629e-06
681.8	5.6156e-06
682.0	5.6022e-06
682.2	5.5888e-06
682.4	5.5755e-06
682.6	5.5622e-06
682.8	5.5489e-06
683.0	5.5357e-06
683.2	5.5225e-06
683.4	5.5093e-06
683.6	5.4962e-06
683.8	5.4831e-06
684.0	5.47e-06
684.2	5.4569e-06
684.4	5.4439e-06
684.6	5.4309e-06
684.8	5.418e-06
685.0	5.4066e-06
685.2	5.3995e-06
685.4	5.3924e-06
685.6	5.3853e-06
685.8	5.3782e-06
686.0	5.3711e-06
686.2	5.364e-06
686.4	5.357e-06
686.6	5.3499e-06
686.8	5.3429e-06
687.0	5.3358e-06
687.2	5.3288e-06
687.4	5.3218e-06
687.6	5.3148e-06
687.8	5.3078e-06
688.0	5.3008e-06
688.2	5.2938e-06
688.4	5.2868e-06
688.6	5.2799e-06
688.8	5.2813e-06
689.0	5.2828e-06
689.2	5.2843e-06
689.4	5.2858e-06
689.6	5.2873e-06
689.8	5.2888e-06
690.0	5.2903e-06
690.2	5.2918e-06
690.4	5.2933e-06
690.6	5.2949e-06
690.8	5.2964e-06
691.0	5.2979e-06
691.2	5.2994e-06
691.4	5.3009e-06
691.6	5.3024e-06
691.8	5.3039e-06
692.0	5.3054e-06
692.2	5.3069e-06
692.4	5.3111e-06
692.6	5.3164e-06
692.8	5.3217e-06
693.0	5.327e-06
693.2	5.3323e-06
693.4	5.3376e-06
693.6	5.3429e-06
693.8	5.3482e-06
694.0	5.3535e-06
694.2	5.3588e-06
694.4	5.3641e-06
694.6	5.3695e-06
694.8	5.3748e-06
695.0	5.3801e-06
695.2	5.3855e-06
695.4	5.3908e-06
695.6	5.3962e-06
695.8	5.4016e-06
696.0	5.4076e-06
696.2	5.4146e-06
696.4	5.4215e-06
696.6	5.4285e-06
696.8	5.4355e-06
697.0	5.4424e-06
697.2	5.4494e-06
697.4	5.4564e-06
697.6	5.4634e-06
697.8	5.4704e-06
698.0	5.4775e-06
698.2	5.4845e-06
698.4	5.4915e-06
698.6	5.4986e-06
698.8	5.5057e-06
699.0	5.5127e-06
699.2	5.5198e-06
699.4	5.5269e-06
699.6	5.5352e-06
699.8	5.5485e-06
700.0	5.5619e-06
700.2	5.5753e-06
700.4	5.5887e-06
700.6	5.6021e-06
700.8	5.6156e-06
701.0	5.6291e-06
701.2	5.6427e-06
701.4	5.6562e-06
701.6	5.6698e-06
701.8	5.6835e-06
702.0	5.6972e-06
702.2	5.7109e-06
702.4	5.7246e-06
702.6	5.7384e-06
702.8	5.7522e-06
703.0	5.766e-06
703.2	5.7799e-06
703.4	5.8039e-06
703.6	5.8285e-06
703.8	5.8532e-06
704.0	5.8781e-06
704.2	5.903e-06
704.4	5.928e-06
704.6	5.9531e-06
704.8	5.9784e-06
